"sleep","sleepnap","rest","work","age","sex","educ","exper","black","gdhealth","labor","self","union","married","ymarried","yngkid","hwage","spwork","spwage","earnings"
2728,2923,0,1175,28,"Female",16,6,0,1,1,0,1,0,0,0,3.54000091552734,0,0,6750
3256,3256,0,1350,28,"Male",12,10,0,0,1,0,0,1,6,1,2.89000153541565,0,0,3500
3250,3545,0,3598,36,"Female",12,18,0,1,1,0,0,1,0,0,1.66000068187714,1,14000,0
2915,2915,0,2638,47,"Male",16,25,0,1,1,0,0,1,19,0,10.3200025558472,0,0,27500
4170,4290,2,3230,40,"Male",14,20,0,1,1,0,0,1,10,0,3.43999838829041,0,0,13750
3030,3030,0,3311,42,"Male",14,22,0,1,1,0,0,1,20,0,12.779993057251,0,0,0
3668,3668,0,2218,41,"Female",16,19,1,1,1,0,1,0,0,0,4.66999959945679,0,0,8250
2303,2303,0,3699,44,"Male",17,21,1,1,1,0,0,1,14,0,5.8999981880188,1,5500,6750
3618,3688,0,3569,53,"Female",16,31,0,1,1,0,0,1,32,0,2.45999932289124,1,17600,18750
3316,3466,0,1775,39,"Male",11,22,0,1,1,0,1,1,20,0,4.02000045776367,1,4500,16250
3601,3676,313,283,26,"Female",12,8,0,1,1,1,0,1,6,0,0.509999752044678,1,12500,1000
2413,2413,90,400,25,"Female",12,7,1,0,1,1,0,1,0,0,1.06000006198883,1,11000,0
2771,2771,30,3533,32,"Male",6,20,1,1,1,0,1,1,10,1,2.05000042915344,1,800,6750
3383,3748,0,2638,32,"Male",12,14,0,1,1,0,0,1,0,0,2.82000017166138,1,5700,10500
3808,3808,0,1175,24,"Female",17,1,0,0,1,0,0,1,3,0,2.82000017166138,0,0,4500
3363,3363,0,2426,56,"Male",12,38,0,1,1,1,0,1,28,0,3.58999919891357,1,5000,8250
3675,3675,0,2113,34,"Male",10,18,0,1,1,0,0,1,17,0,3.58999919891357,1,4000,3500
3120,3195,75,2477,23,"Male",13,4,0,1,1,0,0,1,0,1,4.35999965667725,1,3500,11750
3536,3536,25,2375,29,"Female",12,11,0,1,1,0,1,1,8,0,8.71999740600586,1,17000,18750
3253,3253,0,2813,27,"Male",12,9,0,1,1,0,0,1,8,0,5.13000154495239,0,0,0
2885,2945,0,2625,58,"Male",10,42,0,1,1,0,0,0,0,0,5.13000154495239,0,0,13750
2560,2560,38,3018,56,"Male",12,38,0,1,1,0,0,1,33,0,5.13000154495239,1,11000,21250
2985,3007,0,4335,37,"Male",14,17,0,1,1,0,1,1,0,0,6.6700005531311,0,0,18750
3095,3095,0,3105,51,"Female",12,33,0,0,1,0,0,1,0,0,6.6700005531311,1,14000,13750
2985,2985,0,3194,50,"Male",12,32,0,1,1,0,0,1,28,0,6.25999879837036,0,0,13750
2243,2243,0,2713,39,"Male",16,17,0,1,1,0,0,1,18,0,8.21000194549561,1,2700,23750
2838,3383,0,2338,48,"Male",12,30,0,1,1,0,0,1,20,0,8.21000194549561,0,0,0
3375,3375,90,938,50,"Male",16,28,0,1,1,0,0,1,29,0,11.2899961471558,1,6000,27500
3355,3355,38,3151,26,"Male",16,4,0,1,1,0,1,1,1,1,7.69999694824219,0,0,13750
3743,3865,40,0,51,"Male",11,34,0,1,1,0,1,1,29,0,6.16000127792358,1,1000,16250
2701,2741,0,3695,39,"Male",16,17,0,1,1,0,0,1,15,0,7.69999694824219,1,3600,18750
2943,3003,13,2575,54,"Female",14,34,0,1,1,0,0,1,27,0,3.08000135421753,1,9500,8250
3463,3463,0,2380,28,"Male",12,10,0,1,1,0,0,1,1,0,3.84999942779541,0,0,4500
2723,2843,0,2781,37,"Male",12,19,0,1,1,0,0,0,0,0,4.62000131607056,0,0,10500
3875,4205,0,2088,26,"Male",14,6,0,1,1,0,0,1,4,1,4.62000131607056,1,350,8250
3115,3115,100,2892,35,"Male",17,12,0,1,1,0,1,1,13,0,6.16000127792358,1,1000,13750
2756,3566,0,1188,53,"Female",15,32,0,1,1,0,0,0,0,0,4.62000131607056,0,0,16250
3398,3398,600,2088,53,"Male",16,31,0,1,1,0,0,1,30,0,15.3999900817871,1,3500,42500
3098,3098,30,3480,27,"Male",12,9,0,1,1,0,0,1,7,0,6.16000127792358,1,5500,5500
2991,3111,0,2588,37,"Male",17,14,0,1,1,0,0,1,16,0,9.60000038146973,0,0,21250
3215,3215,10,2688,28,"Female",12,10,0,1,1,0,0,1,9,0,3.58000063896179,1,4800,6750
3611,3761,90,1445,29,"Female",17,6,0,1,1,0,0,1,2,0,5.65000247955322,1,19000,13750
3305,3455,125,3050,44,"Male",12,26,0,1,1,0,0,1,22,0,5.65000247955322,1,5400,5500
3367,3367,0,2250,26,"Female",12,8,0,1,1,0,0,1,7,0,2.43999981880188,1,7000,5500
2618,2618,85,2763,32,"Male",16,10,0,1,1,0,0,0,0,0,4.87999868392944,0,0,16250
3475,4200,55,3008,59,"Female",8,45,0,0,1,0,0,0,0,0,4.10999965667725,0,0,9500
3618,3618,68,2941,26,"Male",17,3,0,1,1,0,0,1,2,0,3.34000062942505,0,0,3500
3460,3545,0,650,32,"Female",11,15,0,0,1,0,0,0,0,0,2.57000017166138,0,0,2500
3250,3250,0,2700,27,"Male",14,7,0,1,1,0,0,1,8,0,2.57000017166138,0,0,8250
2648,3008,10,2775,57,"Female",9,42,0,1,1,0,0,0,0,0,2.75000023841858,0,0,4500
3045,3165,18,2313,26,"Male",12,8,0,1,1,1,0,1,4,1,1.80000054836273,0,0,0
3065,3065,0,3003,37,"Male",12,19,0,0,1,0,1,1,14,0,3.67000126838684,1,7000,6750
2875,2875,0,2301,24,"Male",14,4,0,1,1,0,0,1,1,0,3.67000126838684,0,0,2500
3090,4353,82,1806,33,"Male",12,15,0,1,1,0,0,1,14,0,6.03999996185303,0,0,11750
2798,2888,0,2366,33,"Male",17,10,0,1,1,0,1,0,0,0,4.83000230789185,0,0,10500
3610,3610,0,2466,27,"Male",14,7,0,1,1,0,0,1,0,1,3.21999883651733,0,0,8250
3403,3838,0,2648,45,"Male",8,31,0,1,1,0,1,1,18,0,5.40999937057495,1,3000,16250
3656,3881,0,2010,32,"Male",12,14,0,1,1,0,1,1,9,0,5.91000127792358,1,4000,9500
3348,3348,0,1760,30,"Male",17,7,0,1,1,1,0,1,7,1,8.06000423431396,0,0,13750
3130,3490,0,3135,35,"Female",12,17,0,1,1,0,0,1,13,0,1.91999959945679,1,11500,4500
3213,4084,263,1485,35,"Female",10,19,0,1,1,0,0,0,0,0,1.91999959945679,0,0,4500
3855,3855,0,2463,46,"Male",7,33,0,0,1,0,1,1,24,0,3.02000069618225,0,0,11750
3138,3183,213,2351,47,"Male",12,29,0,1,1,0,0,1,25,0,8.52000522613525,0,0,16250
3203,3541,0,2975,51,"Male",12,33,0,1,1,0,1,0,0,0,3.95999979972839,0,0,16250
2930,3050,3,1283,28,"Male",10,12,0,1,1,0,1,1,9,0,6.6000018119812,0,0,10500
2448,2448,0,2488,47,"Male",17,24,0,1,1,0,0,1,19,0,8.24999904632568,1,6000,16250
3556,4111,0,826,46,"Female",12,28,0,0,1,0,0,1,0,0,2.30999875068665,1,7900,3500
3660,3660,0,2575,42,"Female",14,22,0,1,1,0,0,1,0,0,4.50999927520752,1,11000,8250
2536,2536,75,2326,59,"Female",9,44,0,1,1,0,0,0,0,0,1.15000009536743,0,0,1000
2828,2945,3,2700,30,"Female",11,13,0,1,1,0,1,1,12,0,1.15000009536743,1,7500,1000
3103,3103,0,1350,35,"Female",12,17,0,1,1,0,1,0,0,0,1.03000020980835,0,0,6750
3730,3730,0,1175,23,"Female",12,5,0,1,1,0,1,1,3,0,1.22000014781952,1,5750,5500
2840,2840,0,2353,38,"Female",11,21,0,1,1,0,1,1,20,0,1.43999981880188,1,14000,16250
3210,3290,138,1563,61,"Female",12,43,0,1,1,0,0,0,0,0,1.43999981880188,0,0,3500
3650,3650,0,600,51,"Female",8,37,0,1,1,0,1,0,0,0,1.43999981880188,0,0,4500
2708,2768,50,2501,55,"Male",17,32,0,1,1,0,0,1,25,0,0.720000028610229,1,7000,13750
3530,3530,0,2250,33,"Female",10,17,0,1,1,0,0,1,17,0,1.95999908447266,1,12000,3500
4695,4695,200,1533,52,"Female",12,34,0,1,1,0,1,1,0,0,3.15999984741211,1,10000,9500
3639,3714,120,2513,27,"Male",15,6,0,1,1,0,0,1,5,1,3.46000146865845,1,12500,13750
2335,2428,38,2896,36,"Male",9,21,1,1,1,0,0,1,0,0,3.46000146865845,0,0,8250
2813,2813,0,2550,55,"Female",12,37,0,1,1,0,0,0,0,0,3.46000146865845,0,0,8250
3088,3148,0,2747,60,"Female",10,44,0,0,1,0,0,1,38,0,3.46000146865845,0,0,0
3710,3770,0,2127,40,"Female",11,23,0,1,1,1,0,1,22,0,1.72999930381775,1,10000,9500
3293,3518,0,1125,29,"Female",13,10,0,1,1,0,0,1,8,0,3.46000146865845,0,0,6750
3261,3441,0,1125,35,"Female",12,17,0,1,1,0,0,1,16,0,3.46000146865845,1,10000,1000
3540,3840,0,3692,35,"Male",12,17,0,1,1,0,1,1,15,0,3.46000146865845,1,4000,4500
3176,3221,0,2225,39,"Male",12,21,0,1,1,0,0,1,13,0,3.46000146865845,0,0,1000
3060,3060,90,2375,23,"Male",12,5,0,0,1,0,0,1,5,1,3.46000146865845,0,0,4500
3590,3590,30,2100,28,"Male",11,11,0,1,1,0,0,1,1,1,3.46000146865845,1,800,0
2923,2953,265,2243,28,"Female",17,5,0,1,1,0,1,0,0,0,3.46000146865845,0,0,4500
3020,3020,0,2275,54,"Female",13,35,0,1,1,0,0,0,0,0,3.46000146865845,0,0,6750
3110,3110,0,2393,46,"Female",11,29,0,1,1,0,0,1,0,0,2.18000030517578,1,15000,0
3898,3898,0,2408,52,"Female",12,34,0,1,1,0,0,1,31,0,2.4800009727478,1,11000,11750
2841,2931,0,2413,30,"Female",12,12,0,1,1,0,0,1,12,0,3.22999954223633,1,23000,0
3278,3518,0,2420,40,"Female",12,22,0,1,1,0,0,1,16,0,5.47999954223633,1,13000,10500
3151,3191,697,1263,40,"Female",17,17,0,1,1,0,1,1,22,0,4.23999881744385,0,0,4500
3165,3330,670,2765,28,"Male",10,12,1,1,1,0,0,1,11,1,2.40000081062317,1,3000,10500
3720,3860,0,2100,36,"Female",12,18,0,1,1,0,0,1,8,0,1.80000054836273,1,8000,8250
3675,3675,0,2425,30,"Female",12,12,0,1,1,0,0,0,0,0,3.75000071525574,0,0,8250
3300,3300,0,3213,37,"Male",12,19,0,1,1,0,0,1,17,0,4.49999809265137,1,1500,9500
2250,2250,1200,1200,36,"Female",12,18,0,0,1,0,1,1,14,0,3.75000071525574,1,8000,6750
3298,3518,0,2276,31,"Male",12,13,0,1,1,0,0,1,8,0,3.75000071525574,1,3746,8250
3245,3433,0,2475,30,"Male",12,12,0,1,1,0,0,1,4,0,5.25,1,1400,11750
2770,3160,0,2300,53,"Female",11,36,0,1,1,0,0,1,29,0,3.75000071525574,0,0,8250
3383,3653,0,2188,37,"Female",12,19,1,0,1,0,0,1,18,0,2.99999904632568,1,9000,8250
3338,3338,0,2313,29,"Male",12,11,0,1,1,0,1,1,10,0,5.21000099182129,0,0,13750
3330,3330,33,2300,34,"Male",12,16,0,0,1,0,0,1,2,0,4.76000165939331,1,2500,1000
3098,3586,113,2828,38,"Male",12,20,0,1,1,0,0,1,19,0,5.76999950408936,0,0,0
3158,3158,45,2200,24,"Female",12,6,0,1,1,0,0,1,5,0,5.76999950408936,1,1500,16250
3404,3439,0,3748,52,"Male",14,32,0,1,1,0,0,1,26,0,5.76999950408936,0,0,5500
3038,3188,15,2681,38,"Male",9,23,0,0,1,0,1,1,14,0,5.76999950408936,1,4500,13750
3115,3115,0,1860,36,"Female",16,14,0,1,1,0,0,1,18,0,5.76999950408936,1,21000,23750
2623,2623,20,4325,60,"Male",12,42,0,1,1,0,1,1,0,0,5.76999950408936,1,9000,10500
3013,3013,0,2313,39,"Male",12,21,0,1,1,0,0,1,16,0,5.76999950408936,1,1100,1000
2895,2895,0,3411,50,"Female",12,32,0,1,1,0,0,0,0,0,5.76999950408936,0,0,11750
1485,1485,120,2075,28,"Male",12,10,0,1,1,0,0,1,12,0,5.76999950408936,1,4000,2500
2770,2770,0,2587,36,"Female",10,20,0,1,1,0,1,0,0,0,5.76999950408936,0,0,10500
3308,3428,10,2975,60,"Male",8,46,0,1,1,0,1,1,23,0,5.76999950408936,1,4000,13750
3210,3255,0,2125,32,"Male",13,13,0,1,1,0,0,1,11,0,5.76999950408936,0,0,0
3116,3206,0,2628,56,"Male",12,38,0,1,1,0,1,1,35,0,5.76999950408936,1,9000,8250
3183,3183,77,2388,47,"Male",8,33,0,1,1,0,1,1,0,0,5.76999950408936,0,0,13750
3330,4255,0,2866,61,"Male",12,43,0,1,1,0,0,1,39,0,5.76999950408936,1,2400,1000
3113,3188,0,2173,29,"Male",17,6,0,0,1,0,0,0,0,0,5.76999950408936,0,0,11750
2880,2880,0,2450,56,"Male",8,42,0,1,1,0,0,1,0,0,5.76999950408936,0,0,11750
3308,3626,263,1613,27,"Male",12,9,0,1,1,0,0,1,5,0,5.76999950408936,0,0,0
3428,3428,0,3150,45,"Male",9,30,0,1,1,0,0,1,0,0,5.02000045776367,1,6600,10500
3998,4081,795,1350,25,"Female",12,7,0,1,1,0,0,1,4,0,3.51999998092651,1,9000,6750
3965,3965,75,700,26,"Male",10,10,0,0,1,0,1,1,9,1,4.53000068664551,0,0,10500
3515,3515,60,2250,52,"Female",12,34,0,1,1,0,0,0,0,0,2.7699990272522,0,0,4500
3345,3345,0,1955,33,"Female",17,10,0,1,1,0,0,1,8,1,7.55999851226807,1,18000,18750
3638,3698,80,2125,37,"Male",17,14,0,1,1,0,1,1,7,1,4.0400013923645,0,0,4500
2655,2655,0,938,30,"Male",13,11,0,1,1,1,0,1,6,1,4.0400013923645,0,0,0
2618,2618,0,3869,52,"Female",17,29,0,1,1,0,1,1,27,0,10.1000061035156,0,0,16250
3450,3450,15,2450,23,"Male",12,5,0,1,1,0,1,1,2,1,4.0400013923645,1,300,9500
3188,3488,0,2353,44,"Female",12,26,0,1,1,0,0,1,0,0,3.03000092506409,1,22000,5500
3390,3940,138,2563,33,"Male",16,11,0,1,1,0,0,1,10,0,8.08000087738037,0,0,13750
3108,3108,15,1863,27,"Female",12,9,0,1,1,0,0,1,5,0,4.0400013923645,1,10000,8250
3825,3925,0,2143,65,"Male",7,52,0,0,1,0,0,0,0,0,6.06000137329102,0,0,13750
